Certifications,10th Mark,12th Mark,college mark,hobbies,Daily_study_time,Prefer_study_time,Exp_salary,Interest,Career_basedon_degree,Stress Level ,Financial Status
Yes,71.2,79.5,70,Cinema,60,Anytime,5000,Yes,50,Good,Bad
No,80.2,70,12,Reading books,300,Morning,30000,No,50,Good,Bad
No,85,63,74,Sports,60,Night,10000,Yes,75,Bad,Bad
Yes,90.2,72.8,85,Video Games,120,Morning,20000,Yes,75,Good,Bad
No,61.8,68.3,66.3,Sports,180,Morning,30000,Yes,50,Good,good
No,80,69,60,Sports,60,Morning,20000,Yes,50,Awful,good
Yes,79,61,70,Cinema,120,Night,13000,Yes,50,Awful,Awful
Yes,64,49.5,85,Reading books,180,Night,100000,Yes,75,Bad,Bad
Yes,86,68,80,Video Games,180,Anytime,25000,Yes,75,Good,Bad
Yes,71,66,80,Video Games,60,Morning,15000,Yes,75,Good,good
Yes,80,73,80,Cinema,30,Anytime,50000,Yes,75,Good,Bad
No,50,50,35,Sports,240,Morning,15000,Yes,75,Good,Bad
Yes,65,75,97,Cinema,30,Anytime,15000,Yes,50,fabulous,good
No,90,80,80,Sports,120,Morning,15000,No,25,Awful,Bad
Yes,85,91,88,Video Games,60,Morning,40000,Yes,25,Bad,Bad
Yes,75,70,70,Video Games,60,Morning,15000,Yes,75,Good,good
Yes,82,78,80,Reading books,120,Anytime,25000,Yes,100,Good,Bad
No,84,85,80,Cinema,60,Anytime,25000,Yes,100,Good,Bad
Yes,91,83.5,80,Video Games,120,Night,35000,Yes,50,Bad,good
Yes,92,75,90,Cinema,240,Anytime,18000,Yes,100,Bad,good
Yes,75,75,80,Sports,60,Anytime,40000,Yes,75,Good,good
Yes,90,80,85,Cinema,240,Anytime,20000,Yes,75,Good,good
Yes,81,64,85,Sports,120,Anytime,15000,Yes,50,Good,good
Yes,70,71,91,Sports,120,Anytime,20000,Yes,75,Good,Fabulous
Yes,70,60,60,Sports,180,Morning,25000,Yes,50,Good,Bad
Yes,93,86,85,Cinema,60,Morning,15000,Yes,50,Good,Bad
No,76,63,70,Sports,60,Night,15000,Yes,75,Good,good
Yes,60,79,50,Cinema,60,Morning,25000,Yes,0,Good,Bad
No,83.7,76.77,80,Sports,60,Night,11000,Yes,75,Good,Bad
No,76,76,92.8,Sports,240,Anytime,25000,Yes,100,Good,Bad
Yes,70,50,60,Cinema,120,Night,20000,Yes,50,Bad,Bad
Yes,91,70,80,Cinema,120,Anytime,10000,Yes,50,Bad,Awful
Yes,80,75,70,Cinema,120,Morning,120000,Yes,50,Good,Bad
Yes,60,60,60,Cinema,60,Morning,15000,Yes,75,Bad,Bad
No,60,77,50,Video Games,60,Night,45000,Yes,50,Bad,Bad
No,60,70,65,Sports,30,Night,5000,Yes,25,Good,Bad
Yes,54,65,2,Cinema,30,Anytime,23000,Yes,100,Good,good
No,46,48,60,Sports,120,Anytime,30000,Yes,50,Bad,Bad
Yes,76,47,30,Cinema,30,Morning,500000,Yes,50,Awful,Awful
Yes,70,60,50,Sports,60,Morning,40000,Yes,75,Bad,Bad
Yes,56,57,67,Sports,60,Night,30000,Yes,75,Good,good
Yes,67,70,60,Sports,300,Anytime,700000,Yes,100,Good,good
No,75,79,70,Reading books,120,Morning,12000,Yes,50,Good,Awful
No,65,70,65,Video Games,60,Night,20000,Yes,75,Good,good
No,86,86,89,Video Games,60,Anytime,20000,Yes,50,Good,good
No,70,67,65,Video Games,120,Anytime,15000,Yes,100,Good,good
No,60,52,60,Video Games,120,Night,20000,Yes,50,Bad,Bad
No,60,60,60,Cinema,60,Morning,15000,Yes,75,Bad,good
